expense_tags,big_category,count
sdg,,1
security,,1
domﾃｭnio,,1
domainrenewal,,1
domainname,,1
signoz,,1
"hardware,merch,workflow,training",,1
sinpagar,,1
siteanalytics,,1
skillacquisition,,1
docs,,1
djxj,,1
djcoleoz,,1
djanansi,,1
softwarelicenses,,1
solidhack2024,,1
sound,,1
"holidaygiftdrive,m,aor,mmipfamily",,1
sponsor,,1
"infrastructure,for-workshops,collaboration,community",,1
sponsorships,,1
discord,,1
"inter-beingness,events,facilitation,techsupport",,1
subscriptions,,1
developmenttools,,1
supply-chain,,1
support-circle,,1
svedberg,,1
developement,,1
swagproduction,,1
dev,,1
swag/stash,,1
"invoice,accounting,ops,leagale",,1
"languagetranslation,russian,ukranian,easterneurope",,1
t-shirts,,1
designcontribution,,1
teacherpd,,1
debian11,,1
datastorage,,1
technologyandofficeequipment,,1
cpprest-sdk,,1
tgf,,1
course-fees,,1
council,,1
thebeyondhub,,1
theleadthewayyouthsummit,,1
conversionerrorcb,,1
tinygo,,1
toneighbors,,1
tonc,,1
transfer,,1
contributorpool,,1
transportaiton,,1
"nixops,development,nixpkgs,testing",,1
contractors(team),,1
travis,,1
truckrental,,1
tutorials,,1
"pycon24,stickers,stickermule,pycon",,1
umbler,,1
utilities,,1
"reeree,waitingforreply,astrid,waitingforcorrectinvoice",,1
v-pipe,,1
venuehirecancellationfee,,1
victor,,1
virtual-event-platform,,1
vpn,,1
"reimbursement,domain,reais,recurrent",,1
"reimbursement,x-gc-approved,x-gc-scheduled-20251112,x-gc-batched-20251113",,1
"scanner,equipment,archive,library",,1
wananga,,1
confirmed,,1
conda,,1
"services,subscription,cloudflare,security",,1
windows,,1
compensation,,1
communityofferings,,1
writing,,1
x-gc-scheduled-20250827,,1
yubikey,,1
"zagotﾃｳwkﾄ・,1
communitymanagement""",,1
"2023,livestreaming",,1
"2024,livestreaming",,1
"2024,webservices",,1
"adc,appsigning",,1
"admin,communications",,1
"administrative,website",,1
communityaward,,1
"airfare,ugm_bursary_transportation",,1
"airfare,ugm_committee_transportation",,1
"apptesting,testing",,1
"apple,ended",,1
"apple,reoccuring",,1
"apple,resolved",,1
"apple,yearly",,1
"approved,astrid",,1
"approved,luciano",,1
"approved,marcurious",,1
"archive,equipment",,1
collabathon2023,,1
"aws,email",,1
coffee,,1
codespaces,,1
"bills,mxroute",,1
"bookclub,community",,1
"calculator,diif",,1
"catering,facilities",,1
"taonga,music,equipment,rangatahi",,1
"cherkasy,donation",,1
"cipc,huddlecraft",,1
"circles,staffing",,1
"client,cloud",,1
"client,editor",,1
"client,webxr-native",,1
"clothing,thebeyondhub",,1
"cloud-expense,gpu",,1
"codeberg,hosting",,1
"codex-camp,engineering",,1
codebase,,1
"communication,community",,1
"communication,software",,1
"communications,engineering",,1
cobudget,,1
"communications,operationalcosts",,1
"communications,webservices",,1
"conference,hotel",,1
"conference,registrationfee",,1
"conference,swag",,1
"consultants,infrastructure",,1
"consultation,1800efirstst",,1
co2.js,,1
"contributon,hackatalk",,1
"contributor,hardware",,1
"contributors,gifts",,1
clown,,1
"crowdin,development",,1
"delivery,post",,1
"design,communications",,1
"design,personnel",,1
"design,printing",,1
"development,apple",,1
"development,bugfix",,1
"development,cloudflare",,1
"development,crowdin",,1
"development,domain",,1
"videographer,film,interview,production",,1
cloud-native-buildpacks,,1
"development,mautic-5",,1
"development,reimbursement",,1
"development,reimbursment",,1
cloud,,1
"development,travel",,1
"devparty,reinbursement",,1
"display,services",,1
"documentation,client",,1
"documentation,engineering",,1
"documentation,gh-pages",,1
"documention,marketing",,1
"domain,aws",,1
"domain,bzsec.org",,1
"waitingforreply,luciano,approved,fund33",,1
"domain,webservices",,1
"domain,website",,1
"domainregistration,tech",,1
"domains,nbw",,1
"domains,services",,1
"donation,rgbds",,1
"donation,withdraw",,1
"donations&sponsorships,sponsorship",,1
cherkasy,,1
chatgpt,,1
"wﾄ］anga,education,historicalkﾅ荒ero,powhiri",,1
"engg,maintenance",,1
"engine,networking",,1
"engine,ui",,1
"engineering,bounty",,1
"engineering,digital",,1
"engineering,projectmanagement",,1
charity,,1
"equipment,library",,1
"equipment,memorysavers",,1
chantier1,,1
"equipment,rangatahi",,1
"esmarconf2022,caregiverbursary",,1
"esmarconf2022,digitalinfrastructure",,1
cashout,,1
"etc,fun",,1
"excessrequest!,luciano",,1
"facilitation,x-gc-scheduled-20250827",,1
"fees,generalexpenses",,1
"ferry,transport",,1
"fido2,codesafety",,1
"flight,ugm_bursary_transportation",,1
"food,devparty",,1
"food,misc",,1
caniwebview,,1
campuspartybr2022,,1
"fundraising,na-quickbooks",,1
"gathering,social",,1
"gfx,rfx",,1
"github,recurring",,1
"githubcampusexpert,custom-clearance",,1
"google,onetime",,1
"google,reinbursement",,1
calvinho,,1
"google-cloud,ci",,1
"groceries,food",,1
"groundtranspost,food",,1
(1323行),,
